COUNTRY_(ISO),CODE,YEAR,TFR ,EXPFA1,EXPFA2,FA1_V3,FA2_V3,FA3_V3,DI,TB12,EARN,FW,MW,FLFP,UNEMP,AGRIC,PPP1,PPP2,CPI,IMR,PREM
NL ,14,2005,1.71,,0.64,84.1,71.5,71.5,15.4,3950,37759,15.61,19.13,70.1,4.7,3.2,,0.90,100.00,4.9,90.0
NL ,14,2006,1.72,,,84.7,72.0,72.0,13.3,3291,38701,15.86,19.39,71.0,3.9,3.1,,0.89,101.18,4.4,90.0
NL ,14,2007,1.72,,,88.5,75.9,75.9,13.3,3382,39400,16.11,19.65,72.6,3.2,3.0,,0.88,102.81,4.1,101.0
NL ,14,2008,1.77,,,92.3,78.4,78.4,12.5,3393,42363,16.36,19.91,73.5,2.8,2.8,,0.87,105.37,4.1,101.0
,,,,,,,,,,,,,,,,,,,,,
NZ ,15,1960,4.24,2.61,,6.0,6.0,6.0,,,,0.46,0.64,31.2,0.1,15.4,,0.48,5.74,22.6,
NZ ,15,1961,4.31,2.37,,6.0,6.0,6.0,,,,0.47,0.65,32.2,0.0,14.5,,0.46,5.84,22.8,
NZ ,15,1962,4.19,2.45,,6.0,6.0,6.0,,,,0.48,0.67,32.1,0.1,14.6,,0.48,6.00,20.4,
NZ ,15,1963,4.05,2.21,,6.0,6.0,6.0,,,,0.49,0.69,32.2,0.1,14.3,,0.48,6.11,19.6,
NZ ,15,1964,3.80,2.14,,6.0,6.0,6.0,,,,0.51,0.71,32.9,0.1,14.0,,0.49,6.33,19.1,
NZ ,15,1965,3.54,1.89,,6.0,6.0,6.0,,,,0.55,0.76,34.2,0.1,13.6,,0.49,6.54,19.5,
NZ ,15,1966,3.41,1.87,,6.0,6.0,6.0,,,,0.56,0.82,35.8,0.1,13.3,,0.46,6.72,17.7,
NZ ,15,1967,3.35,,,6.0,6.0,6.0,,,,0.59,0.87,36.6,0.1,13.2,,0.49,7.13,18.0,
NZ ,15,1968,3.34,,,6.0,6.0,6.0,,,,0.62,0.90,35.4,0.8,13.4,,0.49,7.44,18.7,
NZ ,15,1969,3.28,,,6.0,6.0,6.0,,,,0.65,0.94,36.1,0.3,13.2,,0.47,7.80,17.1,
NZ ,15,1970,3.17,1.49,,6.5,6.5,6.5,,,,0.91,1.38,37.3,0.1,12.9,0.60,0.49,8.31,16.7,20.2
NZ ,15,1971,3.18,1.28,,6.5,6.5,6.5,,,,1.17,1.78,38.4,0.2,11.8,0.64,0.53,9.18,16.6,26.5
NZ ,15,1972,3.00,1.13,,13.0,13.0,13.0,13.1,379,3563,1.27,1.93,38.3,0.5,11.6,0.67,0.56,9.81,15.6,32.9
NZ ,15,1973,2.76,1.68,,13.0,13.0,13.0,12.0,403,4246,1.40,2.13,39.1,0.2,11.2,0.69,0.57,10.61,16.2,39.2
NZ ,15,1974,2.58,1.83,,13.0,13.0,13.0,10.2,437,5651,1.60,2.43,40.9,0.1,10.9,0.65,0.54,11.79,15.6,45.6
NZ ,15,1975,2.37,1.52,,13.0,13.0,13.0,9.9,457,6119,1.90,2.76,41.0,0.2,10.7,0.68,0.57,13.52,16.0,51.9
NZ ,15,1976,2.27,1.41,,13.0,13.0,13.0,9.1,467,6951,2.24,3.14,41.7,0.3,10.4,0.76,0.65,15.81,14.0,56.2
NZ ,15,1977,2.21,1.11,,13.0,13.0,13.0,10.2,775,7625,2.64,3.60,42.8,0.3,10.7,0.83,0.71,18.08,14.2,60.5
NZ ,15,1978,2.07,1.05,,13.0,13.0,13.0,11.2,1082,8989,2.99,4.12,43.1,1.7,11.2,0.87,0.76,20.25,13.8,64.7
NZ ,15,1979,2.12,0.74,,26.0,26.0,26.0,18.5,1408,9591,3.46,4.77,44.8,1.9,11.1,0.92,0.82,23.02,12.8,69.0
NZ ,15,1980,2.03,0.91,2.18,26.0,26.0,26.0,13.6,1225,12336,4.06,5.69,44.5,2.2,10.9,0.96,0.86,26.97,13.0,73.3
NZ ,15,1981,2.01,1.25,1.95,26.0,26.0,26.0,9.8,1055,13151,4.87,6.80,44.8,3.6,11.9,1.01,0.93,31.11,11.8,76.3
NZ ,15,1982,1.95,1.02,1.97,26.0,26.0,26.0,9.2,1049,15952,5.53,7.78,45.4,3.5,11.4,1.05,0.95,36.14,12.0,81.9
NZ ,15,1983,1.92,0.90,1.92,26.0,26.0,26.0,12.5,1367,14963,5.58,7.94,45.6,5.7,11.2,1.09,0.99,38.80,12.9,85.3
NZ ,15,1984,1.93,0.88,2.04,26.0,26.0,26.0,15.6,1820,16041,6.11,8.56,45.9,5.7,11.2,1.12,1.03,41.19,11.7,90.0
NZ ,15,1985,1.93,0.99,2.31,26.0,26.0,26.0,17.2,2206,17810,6.59,9.35,47.5,4.2,11.1,1.24,1.14,47.54,10.9,91.0
NZ ,15,1986,1.96,0.64,2.54,26.0,26.0,26.0,12.0,1714,19155,7.80,10.87,66.9,4.1,10.1,1.43,1.31,53.82,11.4,93.0
NZ ,15,1987,2.03,0.77,2.37,26.0,26.0,26.0,4.0,687,22442,8.61,11.87,66.9,4.1,9.9,1.55,1.43,62.30,10.1,91.9
NZ ,15,1988,2.10,0.66,2.41,26.0,26.0,26.0,2.5,478,25213,9.61,12.89,66.0,5.6,9.9,1.62,1.52,66.27,10.9,91.1
NZ ,15,1989,2.12,1.04,2.61,26.0,26.0,26.0,2.2,448,26799,10.17,13.51,64.1,7.1,9.8,1.63,1.53,70.06,10.3,99.4
NZ ,15,1990,2.18,,2.59,26.0,26.0,26.0,2.5,634,26874,10.77,14.37,65.7,7.8,10.2,1.61,1.52,74.33,8.4,74.5
NZ ,15,1991,2.09,0.58,2.23,168.0,88.0,88.0,3.9,530,29485,11.18,14.84,64.1,10.3,10.7,1.56,1.48,76.26,8.4,77.5
NZ ,15,1992,2.06,0.82,2.16,168.0,88.0,88.0,2.7,477,30341,11.55,15.02,64.0,10.4,10.9,1.51,1.47,77.04,7.3,81.0
NZ ,15,1993,2.04,,1.97,168.0,88.0,88.0,2.3,538,30772,11.63,15.08,63.9,9.5,10.6,1.51,1.47,78.03,7.3,77.5
NZ ,15,1994,1.98,1.09,2.00,168.0,92.0,92.0,2.5,593,31895,11.89,15.35,65.4,8.1,10.4,1.50,1.46,79.39,7.2,75.3
NZ ,15,1995,1.98,1.11,1.99,168.0,96.0,96.0,2.7,647,31687,12.23,15.74,66.3,6.3,9.7,1.47,1.46,82.37,6.7,77.2
NZ ,15,1996,1.96,1.16,2.07,173.0,107.0,107.0,4.4,1155,33509,12.73,16.28,68.0,6.1,9.5,1.48,1.47,84.25,7.3,76.9
NZ ,15,1997,1.96,,2.46,178.0,118.0,118.0,6.9,1868,34602,13.22,16.76,67.7,6.6,8.7,1.47,1.45,85.25,6.8,76.4
NZ ,15,1998,1.89,,2.44,188.0,128.0,128.0,6.5,1850,35525,13.74,17.20,67.6,7.4,8.5,1.47,1.45,86.33,5.4,80.7
NZ ,15,1999,1.97,,2.30,188.0,128.0,128.0,6.5,1963,35482,14.31,17.74,68.1,6.8,9.5,1.46,1.43,86.23,5.8,85.0
NZ ,15,2000,1.98,,2.16,188.0,128.0,128.0,4.9,1465,36807,14.44,17.87,68.2,6.0,8.7,,1.45,88.49,6.3,86.0
NZ ,15,2001,1.97,,2.04,188.0,128.0,128.0,3.6,1075,38109,14.93,18.28,69.3,5.3,9.1,,1.47,90.81,5.6,86.0
NZ ,15,2002,1.89,,1.98,188.0,128.0,128.0,2.2,685,39411,15.30,19.06,69.7,5.2,8.8,,1.47,93.24,6.2,87.0
NZ ,15,2003,1.93,,1.89,188.0,128.0,128.0,0.2,72,41452,15.51,19.54,69.6,4.6,8.1,,1.50,94.88,5.4,90.0
NZ ,15,2004,1.98,,1.76,188.0,128.0,128.0,0.0,0,41778,16.55,20.24,70.0,3.9,7.5,,1.51,97.05,5.9,92.0
NZ ,15,2005,1.97,,1.92,340.0,300.0,300.0,7.5,2445,40949,16.84,20.54,71.1,3.7,7.1,,1.54,100.00,5.0,93.0
NZ ,15,2006,2.01,,,340.0,300.0,300.0,23.2,7794,42572,17.62,21.52,71.5,3.8,7.1,,1.52,103.37,5.2,92.0
NZ ,15,2007,2.17,,,380.0,340.0,340.0,23.9,8398,44749,18.47,22.54,72.1,3.6,7.1,,1.55,105.82,5.0,93.0
NZ ,15,2008,2.18,,,380.0,340.0,340.0,22.4,8314,47031,19.16,23.55,72.6,4.2,7.2,,1.59,110.01,5.0,94.0
,,,,,,,,,,,,,,,,,,,,,
NO ,16,1960,2.91,0.64,,0.0,25.0,25.0,,,,4.29,6.37,36.0,1.2,21.6,,6.18,10.08,18.9,
NO ,16,1961,2.94,0.58,,0.0,30.0,30.0,,,,4.64,6.82,36.3,0.9,20.7,,6.28,10.30,17.9,
NO ,16,1962,2.91,0.54,,0.0,31.1,33.9,,,,5.07,7.38,36.6,1.0,19.9,,6.44,10.84,17.7,
NO ,16,1963,2.93,0.63,,0.0,32.2,37.8,,,,5.40,7.77,36.5,1.3,19.1,,6.56,11.11,16.9,
NO ,16,1964,2.98,0.56,,0.0,33.3,41.7,,,,5.84,8.25,36.6,1.1,18.3,,6.75,11.76,16.4,
NO ,16,1965,2.94,0.51,,0.0,33.3,41.7,,,,6.47,9.00,36.6,0.9,17.6,,6.88,12.25,16.8,
NO ,16,1966,2.90,0.50,,0.0,33.3,41.7,,,,7.02,9.65,36.5,0.8,16.7,,6.91,12.65,14.6,
NO ,16,1967,2.81,0.47,,0.0,33.3,41.7,,,,7.67,10.39,37.0,0.7,16.0,,6.92,13.23,14.8,
NO ,16,1968,2.75,0.48,,0.0,33.3,41.7,,,,8.34,11.22,37.4,1.1,15.4,,6.89,13.69,13.7,
NO ,16,1969,2.69,0.48,,42.0,83.0,42.0,,,,9.13,12.28,37.8,1.1,14.7,,6.82,14.09,13.8,
NO ,16,1970,2.50,1.47,,42.0,83.0,42.0,,,,10.32,13.75,38.5,0.8,13.9,7.85,7.18,15.59,12.7,
NO ,16,1971,2.49,1.32,,46.0,92.0,45.0,,,,11.65,15.45,38.8,0.8,13.2,7.93,7.27,16.56,12.8,
NO ,16,1972,2.38,1.26,,46.0,92.0,45.0,16.8,3849,33969,12.82,16.82,50.4,1.7,12.3,7.96,7.36,17.77,11.8,
NO ,16,1973,2.23,1.20,,46.0,92.0,62.0,17.5,4309,37345,14.18,18.61,50.6,1.6,11.5,8.17,7.58,19.08,11.9,
NO ,16,1974,2.13,1.05,,46.0,92.0,62.0,16.7,4810,43321,16.75,21.83,50.0,1.5,10.6,8.30,7.74,20.88,10.4,
NO ,16,1975,1.98,0.93,,50.0,102.0,85.0,14.8,5135,51743,20.41,26.15,53.3,2.3,9.4,8.36,7.70,23.32,11.1,15.3
NO ,16,1976,1.86,0.93,,59.0,161.0,246.0,14.6,5755,58406,24.16,30.44,57.3,1.8,9.4,8.44,7.85,25.46,10.5,21.1
NO ,16,1977,1.75,0.84,,59.0,161.0,246.0,16.1,6878,62503,26.96,33.77,58.5,1.5,9.1,8.55,7.98,27.78,9.2,26.8
NO ,16,1978,1.77,0.74,,59.0,161.0,246.0,17.6,8001,67209,29.24,36.44,60.3,1.8,8.7,8.46,7.92,30.04,8.6,32.6
NO ,16,1979,1.75,0.70,,100.0,202.0,287.0,19.6,9039,74069,30.15,37.47,61.7,2.0,8.6,8.20,7.73,31.46,8.8,38.3
NO ,16,1980,1.72,0.99,1.25,175.0,277.0,362.0,23.0,12404,85010,33.55,40.97,62.3,1.7,8.5,8.47,8.02,34.90,8.1,44.1
NO ,16,1981,1.70,1.04,,221.0,293.0,378.0,22.6,13841,89814,37.29,45.14,63.9,2.1,8.4,8.67,8.28,39.66,7.5,48.6
NO ,16,1982,1.71,1.08,,271.0,334.0,419.0,23.2,15645,103150,41.42,49.76,64.3,2.7,8.1,9.02,8.62,44.15,8.1,52.7
NO ,16,1983,1.66,1.09,,318.0,387.0,481.0,23.9,17262,107765,45.35,53.96,65.5,3.5,7.7,9.24,8.87,47.87,7.9,57.0
NO ,16,1984,1.66,1.02,,347.0,419.0,519.0,24.0,18787,116730,49.15,58.59,66.3,3.2,7.4,9.39,9.08,50.89,8.3,61.9
NO ,16,1985,1.68,1.00,1.31,377.0,453.0,567.0,23.8,20123,125715,52.85,63.28,68.0,2.6,7.4,9.54,9.26,53.76,8.5,65.9
NO ,16,1986,1.71,1.07,,454.0,500.0,618.0,24.4,22377,138424,58.40,69.69,71.0,2.0,7.4,9.23,9.00,57.63,7.8,70.4
NO ,16,1987,1.75,1.11,,515.0,556.0,674.0,24.8,24733,150248,67.83,81.00,72.3,2.1,6.7,9.55,9.39,62.66,8.4,74.5
NO ,16,1988,1.84,1.23,1.62,599.0,640.0,758.0,25.3,26819,158984,71.98,85.36,72.8,3.2,6.4,9.65,9.52,66.84,8.0,78.7
NO ,16,1989,1.89,1.26,1.74,653.0,694.0,812.0,25.7,28459,167232,76.47,89.48,71.2,5.0,6.6,9.78,9.69,69.88,7.8,83.1
NO ,16,1990,1.93,,1.87,729.0,770.0,888.0,25.7,30484,177158,81.79,94.63,71.2,5.3,6.5,9.73,9.68,72.76,6.9,88.3
NO ,16,1991,1.92,,2.07,784.0,825.0,943.0,25.1,31632,186303,86.67,99.51,71.0,5.6,5.9,9.60,9.56,75.25,6.2,96.2
NO ,16,1992,1.89,,2.26,818.0,859.0,977.0,22.4,30632,191919,89.20,102.66,70.8,6.0,5.6,8.98,9.28,77.02,5.8,105.5
NO ,16,1993,1.86,,2.26,851.0,892.0,1010.0,21.9,30772,197301,91.80,105.42,70.8,6.1,5.6,8.93,9.28,78.78,5.0,93.7
NO ,16,1994,1.87,,2.32,868.0,910.0,1030.0,21.7,31304,202410,94.55,108.49,71.0,5.5,5.3,9.12,9.07,79.88,5.2,98.5
NO ,16,1995,1.87,,2.22,881.0,924.0,1046.0,20.9,31606,214817,97.85,112.27,72.1,5.0,5.2,9.14,9.16,81.84,4.0,101.2
NO ,16,1996,1.89,,2.14,868.0,910.0,1030.0,20.3,32745,230200,102.18,116.96,73.8,4.9,5.1,9.11,9.04,82.86,4.0,103.2
NO ,16,1997,1.86,,2.06,926.0,969.0,1091.0,20.0,33669,238700,106.09,121.58,75.3,4.1,4.7,9.32,9.08,84.99,4.1,93.8
NO ,16,1998,1.81,,2.18,926.0,969.0,1091.0,19.0,33817,252600,112.39,128.25,76.0,3.2,4.7,9.57,9.38,86.92,4.0,84.4
NO ,16,1999,1.85,,2.17,926.0,969.0,1091.0,17.7,33228,265735,121.75,139.14,76.2,3.2,4.6,9.50,9.33,88.95,3.9,75.0
NO ,16,2000,1.85,,1.86,829.0,829.0,912.0,16.3,31292,270800,131.11,150.03,76.2,3.5,4.1,,9.14,91.69,3.8,76.0
NO ,16,2001,1.78,,1.92,972.0,972.0,972.0,15.8,31524,281350,140.47,160.93,76.4,3.6,3.9,,9.18,94.46,3.9,78.0
NO ,16,2002,1.75,,1.94,972.0,972.0,972.0,15.3,31756,291900,149.83,171.82,76.8,3.9,3.8,,9.11,95.68,3.5,79.0
NO ,16,2003,1.80,,1.89,972.0,972.0,972.0,14.7,32176,307307,159.19,182.71,76.0,4.5,3.7,,9.11,98.04,3.4,82.0
NO ,16,2004,1.83,,1.75,970.0,970.0,970.0,14.4,32532,317101,165.94,188.08,75.5,4.5,3.5,,8.98,98.50,3.2,85.0
NO ,16,2005,1.84,,1.58,970.0,970.0,970.0,12.2,32896,379934,208.45,185.64,75.4,4.6,3.3,,8.90,100.00,3.1,88.0
NO ,16,2006,1.90,,,970.0,970.0,970.0,11.9,33232,394278,216.01,200.83,76.0,3.5,3.3,,8.89,102.33,3.2,90.0
NO ,16,2007,1.90,,,970.0,970.0,970.0,11.4,33680,420780,226.82,214.63,77.3,2.5,2.8,,9.05,103.08,3.1,92.0
NO ,16,2008,1.96,,,970.0,970.0,970.0,10.9,34158,446881,243.02,227.28,78.9,2.5,2.4,,9.15,106.96,2.7,94.0
,,,,,,,,,,,,,,,,,,,,,
PT ,17,1960,3.10,0.87,,100.0,100.0,100.0,,,,2.91,4.16,18.4,1.9,43.6,,0.06,1.22,77.5,
PT ,17,1961,3.16,0.96,,100.0,100.0,100.0,,,,3.21,4.58,21.3,2.3,42.4,,0.06,1.24,88.8,
PT ,17,1962,3.21,0.98,,100.0,100.0,100.0,,,,3.31,4.72,24.2,2.6,41.2,,0.06,1.27,78.6,
PT ,17,1963,3.11,0.99,,100.0,100.0,100.0,,,,3.45,4.93,27.2,2.6,40.0,,0.06,1.30,73.1,
PT ,17,1964,3.21,0.96,,100.0,100.0,100.0,,,,3.65,5.21,30.1,2.6,38.7,,0.06,1.34,69.0,
PT ,17,1965,3.14,0.97,,100.0,100.0,100.0,,,,4.16,5.95,33.1,2.6,37.5,,0.06,1.39,64.9,
PT ,17,1966,3.12,0.99,,100.0,100.0,100.0,,,,4.52,6.45,36.0,2.6,36.4,,0.07,1.46,64.7,
PT ,17,1967,3.08,0.99,,100.0,100.0,100.0,,,,4.87,6.96,38.9,2.6,35.3,,0.07,1.54,59.2,
PT ,17,1968,3.00,1.07,,100.0,100.0,100.0,,,,5.18,7.39,41.9,2.7,34.1,,0.06,1.63,61.1,
PT ,17,1969,2.95,0.90,,100.0,100.0,100.0,,,,6.36,9.08,44.8,2.7,32.9,,0.07,1.78,55.8,
PT ,17,1970,2.83,1.19,,100.0,100.0,100.0,,,,7.54,10.77,47.8,2.6,29.9,15.00,0.07,1.89,55.5,3.1
PT ,17,1971,2.78,1.19,,100.0,100.0,100.0,,,,8.35,11.93,48.9,2.6,29.2,14.90,0.07,2.12,51.9,4.3
PT ,17,1972,2.69,1.58,,160.0,160.0,160.0,14.3,3840,29280,9.70,13.86,49.3,2.6,28.2,15.40,0.07,2.34,41.4,5.5
PT ,17,1973,2.65,1.70,,160.0,200.0,240.0,14.1,4320,33581,11.38,16.25,49.8,2.7,27.0,15.80,0.07,2.65,44.8,6.7
PT ,17,1974,2.60,1.54,,240.0,240.0,240.0,12.5,5760,49723,17.98,25.68,51.2,1.8,34.9,17.30,0.08,3.31,37.9,7.9
PT ,17,1975,2.58,1.77,,240.0,240.0,240.0,9.2,5760,69664,25.76,36.79,49.3,4.6,33.9,18.40,0.08,3.82,38.9,9.1
PT ,17,1976,2.58,1.55,,240.0,240.0,240.0,7.6,5760,85369,32.05,45.78,50.4,6.4,33.9,20.10,0.09,4.62,33.4,11.3
PT ,17,1977,2.48,1.25,,240.0,240.0,240.0,6.8,5760,101309,37.31,53.30,51.4,7.5,32.9,23.80,0.11,6.15,30.3,13.5
PT ,17,1978,2.28,0.94,,240.0,240.0,240.0,6.0,5760,112054,43.18,61.69,51.7,8.1,31.3,27.10,0.13,7.55,29.1,15.8
PT ,17,1979,2.17,0.68,,240.0,240.0,240.0,5.3,6135,139130,51.46,73.52,54.5,8.2,30.5,29.70,0.14,9.33,26.0,18.0
PT ,17,1980,2.18,0.68,0.66,300.0,300.0,350.0,6.0,7210,137338,63.49,90.70,54.2,7.8,27.3,33.00,0.15,10.88,24.2,20.2
PT ,17,1981,2.13,0.78,0.75,350.0,350.0,420.0,4.8,8470,196742,77.24,110.35,54.6,7.6,26.0,35.00,0.16,13.06,21.8,22.9
PT ,17,1982,2.07,0.77,0.73,450.0,450.0,520.0,6.0,11640,243720,92.67,132.39,54.1,7.5,25.2,40.00,0.19,16.03,19.8,23.9
PT ,17,1983,1.95,0.74,0.73,550.0,550.0,650.0,7.1,16207,280292,108.29,154.70,56.7,7.9,23.2,47.00,0.22,20.05,19.2,25.4
PT ,17,1984,1.90,0.80,0.69,660.0,660.0,780.0,6.1,17759,359048,128.86,184.09,56.0,8.5,23.8,56.00,0.27,25.84,16.7,26.0
PT ,17,1985,1.72,0.72,0.62,660.0,660.0,780.0,5.5,18370,385357,158.77,226.82,56.1,8.7,23.9,66.00,0.32,30.92,17.8,29.8
PT ,17,1986,1.66,0.79,0.68,1000.0,1000.0,1000.0,7.2,27354,446774,189.40,270.57,55.5,8.6,21.9,78.00,0.37,34.55,15.9,32.6
PT ,17,1987,1.62,0.68,0.67,1120.0,1120.0,1120.0,7.6,32808,515865,200.00,287.00,56.9,7.1,22.2,83.00,0.40,37.79,14.2,32.3
PT ,17,1988,1.62,0.65,0.63,1250.0,1250.0,1250.0,5.8,30000,623419,211.00,303.00,58.2,5.8,20.7,89.00,0.43,41.45,13.1,34.1
PT ,17,1989,1.58,0.60,0.60,1375.0,1375.0,1375.0,11.1,65370,712280,222.00,320.00,59.1,5.1,18.9,96.00,0.46,46.67,12.2,36.1
PT ,17,1990,1.56,0.49,0.63,1550.0,1550.0,1550.0,12.0,80600,824608,254.00,368.00,62.9,4.6,17.9,104.00,0.50,52.91,11.0,52.9
PT ,17,1991,1.56,0.53,0.68,1550.0,1550.0,2350.0,11.8,97499,955762,295.00,419.00,62.8,4.3,18.3,110.00,0.53,58.46,10.8,54.6
PT ,17,1992,1.53,0.00,0.67,1775.0,1775.0,2675.0,11.5,101812,1070141,326.00,480.00,60.3,4.1,11.5,116.00,0.58,63.99,9.3,55.2
PT ,17,1993,1.51,0.51,0.68,2000.0,2000.0,3000.0,11.3,107815,1158797,390.00,486.00,60.6,5.5,11.6,117.00,0.61,68.28,8.7,57.5
PT ,17,1994,1.44,0.80,0.64,2580.0,2580.0,2580.0,10.4,101168,1192691,384.00,518.50,60.9,6.8,11.8,118.00,0.64,71.97,8.1,58.3
PT ,17,1995,1.41,0.80,0.64,2580.0,2580.0,3880.0,10.7,104125,1187858,378.00,551.00,61.2,7.2,11.6,119.00,0.65,74.98,7.5,60.6
PT ,17,1996,1.44,0.80,0.62,2675.0,2675.0,4090.0,10.5,111225,1297801,402.00,586.00,62.0,7.2,12.4,122.00,0.66,77.30,6.9,63.0
PT ,17,1997,1.47,,0.61,2770.0,2770.0,4300.0,10.7,120900,1375991,434.00,626.00,63.6,6.7,13.7,122.00,0.67,79.09,6.4,65.3
PT ,17,1998,1.48,,0.61,3595.0,3595.0,5465.0,11.2,128220,1404354,545.00,832.00,65.7,5.0,13.5,129.00,0.69,81.29,6.0,67.7
PT ,17,1999,1.51,,0.60,4420.0,4420.0,6630.0,11.2,134376,1459261,554.00,856.00,66.3,4.4,12.8,129.00,0.70,83.19,5.8,70.0
PT ,17,2000,1.56,,0.62,4680.0,4680.0,7030.0,11.0,139129,1532224,500.00,731.00,67.5,4.0,12.8,,0.70,85.57,5.5,73.0
PT ,17,2001,1.46,,0.62,4960.0,4960.0,7450.0,12.3,813,7984,536.00,784.00,68.2,4.1,12.8,,0.71,89.30,5.0,75.0
PT ,17,2002,1.47,,0.65,26.2,26.2,39.4,13.4,932,8325,2.94,4.30,68.9,5.1,12.4,,0.71,92.48,5.0,75.0
PT ,17,2003,1.44,,0.69,28.1,28.1,28.1,13.2,956,8677,2.89,4.22,69.3,6.4,12.7,,0.71,95.50,4.1,77.0
PT ,17,2004,1.40,,0.74,30.0,30.0,30.0,15.1,1118,8905,3.00,4.39,70.5,6.7,12.1,,0.72,97.76,3.8,78.0
PT ,17,2005,1.41,,,30.4,30.4,30.4,15.1,1590,13299,3.02,4.46,71.7,7.7,11.9,,0.68,100.00,3.5,79.0
PT ,17,2006,1.36,,,30.7,30.7,30.7,15.2,1647,13745,3.09,4.58,72.3,7.7,11.8,,0.68,103.10,3.3,80.0
PT ,17,2007,1.33,,,32.4,32.4,32.4,15.8,1924,15682,3.19,4.65,72.8,8.0,11.7,,0.67,105.63,3.4,80.0
PT ,17,2008,1.49,,,34.0,34.0,34.0,16.8,2169,16722,3.33,4.82,72.9,7.8,11.7,,0.68,108.34,3.4,80.0
,,,,,,,,,,,,,,,,,,,,,
ES ,18,1960,2.86,0.30,,148.0,148.0,148.0,,,,8.88,11.10,18.9,1.5,42.0,,0.13,3.21,43.7,
ES ,18,1961,2.76,0.29,,148.0,148.0,148.0,,,,11.11,13.89,20.9,1.5,40.3,,0.13,3.24,46.2,
ES ,18,1962,2.80,0.27,,148.0,148.0,148.0,,,,13.34,16.67,22.8,1.2,38.6,,0.14,3.42,41.6,
ES ,18,1963,2.88,0.24,,148.0,148.0,148.0,,,,15.57,19.46,24.8,1.3,36.9,,0.15,3.72,40.6,
ES ,18,1964,3.01,0.20,,148.0,148.0,148.0,,,,17.80,22.25,26.7,1.5,35.0,,0.15,3.98,39.2,
ES ,18,1965,2.94,0.17,,148.0,148.0,148.0,,,,20.64,25.80,27.4,1.5,33.3,,0.16,4.51,37.8,
ES ,18,1966,2.99,0.15,,148.0,148.0,148.0,,,,24.05,30.06,27.2,1.4,32.5,,0.17,4.79,36.0,
ES ,18,1967,3.03,,,148.0,148.0,148.0,,,,27.57,34.46,27.7,1.9,32.0,,0.18,5.10,34.0,
ES ,18,1968,2.96,,,148.0,148.0,148.0,,,,29.82,37.27,28.1,1.9,31.6,,0.18,5.35,32.4,
ES ,18,1969,2.93,,,200.0,200.0,200.0,,,,33.20,41.49,28.6,1.5,30.5,,0.18,5.47,30.2,
ES ,18,1970,2.90,,,200.0,200.0,200.0,,,,33.10,41.37,29.0,1.5,29.5,35.20,0.18,5.78,28.1,31.5
ES ,18,1971,2.88,,,250.0,250.0,250.0,,,,37.50,46.87,29.8,2.0,28.4,36.00,0.19,6.26,25.6,32.2
ES ,18,1972,2.86,,,250.0,250.0,250.0,7.7,8400,115000,44.05,55.06,30.7,3.0,25.7,37.30,0.19,6.77,22.8,32.8
ES ,18,1973,2.84,,,250.0,250.0,250.0,8.5,10500,131000,52.84,66.05,33.4,2.7,24.3,39.30,0.21,7.55,21.4,33.5
ES ,18,1974,2.89,,,250.0,250.0,250.0,7.1,10500,161655,66.51,83.14,34.1,3.2,23.2,41.90,0.22,8.73,19.8,34.1
ES ,18,1975,2.80,1.00,,250.0,250.0,250.0,5.6,10500,205787,88.38,110.47,32.4,4.7,22.1,44.80,0.23,10.21,18.9,34.8
ES ,18,1976,2.80,0.83,,250.0,250.0,250.0,4.5,10500,261556,114.99,143.73,33.9,4.6,22.1,49.00,0.26,12.01,17.1,36.7
ES ,18,1977,2.67,0.65,,250.0,250.0,250.0,5.2,17333,360712,130.80,163.50,32.7,5.2,20.9,56.60,0.30,14.95,16.0,38.6
ES ,18,1978,2.55,0.54,,250.0,250.0,250.0,6.0,24167,459868,167.09,208.86,32.6,7.0,20.4,63.50,0.34,17.91,15.3,40.6
ES ,18,1979,2.37,0.47,,250.0,250.0,250.0,6.7,31000,559025,203.79,254.74,32.6,8.7,19.7,68.10,0.36,20.72,14.3,42.5
ES ,18,1980,2.22,0.38,0.44,250.0,250.0,250.0,6.1,37600,653871,238.49,298.12,32.4,11.5,18.9,71.00,0.38,23.94,12.3,44.4
ES ,18,1981,2.04,0.34,0.38,250.0,250.0,250.0,5.5,44200,748716,288.94,361.17,32.0,14.2,18.4,72.00,0.39,27.42,12.5,46.0
ES ,18,1982,1.94,0.33,0.36,250.0,250.0,250.0,6.3,49200,844198,333.19,416.49,32.6,16.0,18.1,77.00,0.42,31.38,11.3,47.1
ES ,18,1983,1.80,0.27,0.31,250.0,250.0,250.0,7.1,54200,939680,381.63,477.04,33.5,17.5,18.3,83.00,0.45,35.20,10.9,48.4
ES ,18,1984,1.73,0.28,0.28,250.0,250.0,250.0,6.9,57700,1034490,428.33,535.42,33.7,20.2,18.0,88.00,0.48,39.17,9.9,49.7
ES ,18,1985,1.64,0.24,0.24,250.0,250.0,250.0,6.3,59000,1155113,470.00,587.50,34.0,21.6,17.9,92.00,0.50,42.62,8.9,51.4
ES ,18,1986,1.56,0.19,0.19,250.0,250.0,250.0,5.7,59000,1283670,517.75,647.18,34.5,21.1,15.8,100.00,0.55,46.37,9.2,52.2
ES ,18,1987,1.50,0.14,0.16,250.0,250.0,250.0,6.0,61650,1264704,565.00,706.00,38.2,20.3,14.8,102.00,0.56,48.80,8.9,53.8
